scope,experiment_id,experiment_slug,experiment_title,suite,target_id,target_name,transpile_spec_id,transpile_spec_name,transpile_spec_hash,reference_method_spec_id,reference_method,reference_method_spec_hash,candidate_method_spec_id,candidate_method,candidate_method_spec_hash,metric,lower_is_better,delta_definition,relative_improvement_definition,n_candidate_keys,n_paired_view_verified_keys,n_base_eligible_pairs,n_pairs,n_relative_defined,n_excluded,win_count,tie_count,loss_count,reference_mean,reference_median,candidate_mean,candidate_median,mean_delta,mean_delta_ci_low,mean_delta_ci_high,median_delta,median_delta_ci_low,median_delta_ci_high,mean_relative_improvement_pct,mean_relative_improvement_pct_ci_low,mean_relative_improvement_pct_ci_high,median_relative_improvement_pct,median_relative_improvement_pct_ci_low,median_relative_improvement_pct_ci_high,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_zero_method,wilcoxon_nonzero_pairs,rank_biserial,rank_biserial_ci_low,rank_biserial_ci_high,holm_family,holm_family_size,holm_p_adjusted,holm_reject,alpha,exclusion_counts_json
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,47a9e486-8933-5182-aa78-3d50553dd40e,direct_anf,fcdd271312fc2b85e938d2db6e98c748aed2f60edd36efdf0a7468f40b033b4f,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,ancilla_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,0,4,4,1.0,1.0,1.5,1.5,0.5,0.125,0.875,0.5,0.0,1.0,-50.0,-87.5,-12.5,-50.0,-100.0,0.0,0.0,0.125,wilcox,4,-1.0,-1.0,-1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,47a9e486-8933-5182-aa78-3d50553dd40e,direct_anf,fcdd271312fc2b85e938d2db6e98c748aed2f60edd36efdf0a7468f40b033b4f,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,cnot_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,4,2,2,66.0,32.0,34.5,31.0,-31.5,-76.125,1.0,-3.5,-124.0,3.0,13.702153110047846,-8.977272727272727,37.18921949760759,7.954545454545454,-15.249999999999986,65.26315789473684,3.0,0.15625,wilcox,6,0.7142857142857143,-0.2,1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,47a9e486-8933-5182-aa78-3d50553dd40e,direct_anf,fcdd271312fc2b85e938d2db6e98c748aed2f60edd36efdf0a7468f40b033b4f,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,depth,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,4,2,2,66.0,32.0,38.875,35.5,-27.125,-59.378125,3.628124999999983,-1.5,-115.0,9.0,4.279306220095694,-23.98153409090909,32.203947368421055,3.409090909090909,-30.0,60.526315789473685,7.0,0.53125,wilcox,6,0.3333333333333333,-0.7142857142857143,1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,47a9e486-8933-5182-aa78-3d50553dd40e,direct_anf,fcdd271312fc2b85e938d2db6e98c748aed2f60edd36efdf0a7468f40b033b4f,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,gate_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,0,2,6,6.25,4.5,13.875,14.0,7.625,4.375,10.625,9.5,0.0,12.0,-161.96428571428572,-286.25892857142856,-59.285714285714285,-104.28571428571429,-253.57142857142856,-40.0,0.0,0.03125,wilcox,6,-1.0,-1.0,-1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,47a9e486-8933-5182-aa78-3d50553dd40e,direct_anf,fcdd271312fc2b85e938d2db6e98c748aed2f60edd36efdf0a7468f40b033b4f,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,n_qubits,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,0,2,6,5.75,5.5,6.5,6.5,0.75,0.375,1.0,1.0,0.0,1.0,-12.738095238095239,-17.50297619047619,-6.666666666666667,-15.476190476190478,-18.333333333333336,0.0,0.0,0.03125,wilcox,6,-1.0,-1.0,-1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,47a9e486-8933-5182-aa78-3d50553dd40e,direct_anf,fcdd271312fc2b85e938d2db6e98c748aed2f60edd36efdf0a7468f40b033b4f,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,runtime_s,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,0,0,8,0.00011688750009852811,0.00010294999992765952,0.2716116124997825,0.2776936499999465,0.27149472499968397,0.14904865812464438,0.3951588159374778,0.27760894999983066,0.10202949999984412,0.5128401000001759,-239078.41662944842,-345370.86247308727,-129961.70830837726,-236590.63790734118,-405685.999821115,-21794.475621553494,0.0,0.0078125,wilcox,8,-1.0,-1.0,-1.0,global across all emitted Wilcoxon hypotheses,125,0.9765625,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,47a9e486-8933-5182-aa78-3d50553dd40e,direct_anf,fcdd271312fc2b85e938d2db6e98c748aed2f60edd36efdf0a7468f40b033b4f,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,t_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,6,2,0,94.0,38.0,27.0,24.0,-67.0,-129.0,-8.0,-16.0,-236.0,0.0,39.532967032967036,18.035714285714285,62.35714285714274,36.92307692307692,0.0,84.28571428571429,0.0,0.03125,wilcox,6,1.0,1.0,1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,47a9e486-8933-5182-aa78-3d50553dd40e,direct_anf,fcdd271312fc2b85e938d2db6e98c748aed2f60edd36efdf0a7468f40b033b4f,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,weighted_score,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,0,0,8,0,0,0,,,,,,,,,,,,,,,,,,,wilcox,0,,,,global across all emitted Wilcoxon hypotheses,125,,False,0.05,"{""reference_metric_missing_or_nonfinite"":8}"
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5e2efe12-13bd-5dca-939a-01d0d34ea2c6,greedy_factor,2c93edc65b3032117b7bea3bd6a3dc43e2cb5298f91e46702328a297fa814f43,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,ancilla_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,0,8,0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,wilcox,0,0.0,0.0,0.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5e2efe12-13bd-5dca-939a-01d0d34ea2c6,greedy_factor,2c93edc65b3032117b7bea3bd6a3dc43e2cb5298f91e46702328a297fa814f43,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,cnot_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,4,2,2,63.75,33.5,34.5,31.0,-29.25,-69.25,0.75,-5.0,-112.0,5.0,14.440443461630409,-7.699468085106382,38.2420661008845,10.638297872340425,-25.0,62.921348314606746,3.0,0.15625,wilcox,6,0.7142857142857143,-0.3333333333333333,1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5e2efe12-13bd-5dca-939a-01d0d34ea2c6,greedy_factor,2c93edc65b3032117b7bea3bd6a3dc43e2cb5298f91e46702328a297fa814f43,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,depth,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,4,2,2,63.75,33.5,38.875,35.5,-24.875,-53.5,2.375,-3.0,-55.5,9.0,5.06469639015061,-22.767163967248386,32.65598852498207,6.382978723404255,-45.0,57.86516853932584,7.0,0.53125,wilcox,6,0.3333333333333333,-0.7142857142857143,1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5e2efe12-13bd-5dca-939a-01d0d34ea2c6,greedy_factor,2c93edc65b3032117b7bea3bd6a3dc43e2cb5298f91e46702328a297fa814f43,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,gate_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,0,2,6,8.75,5.5,13.875,14.0,5.125,2.625,7.5,5.5,2.0,8.512499999999932,-132.82004830917873,-270.32004830917873,-24.396135265700483,-47.58454106280193,-350.0,-8.695652173913043,0.0,0.03125,wilcox,6,-1.0,-1.0,-1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5e2efe12-13bd-5dca-939a-01d0d34ea2c6,greedy_factor,2c93edc65b3032117b7bea3bd6a3dc43e2cb5298f91e46702328a297fa814f43,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,n_qubits,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,0,6,2,6.25,6.5,6.5,6.5,0.25,0.0,0.625,0.0,0.0,0.5124999999999318,-3.5714285714285716,-7.142857142857143,0.0,0.0,-14.285714285714286,0.0,0.0,0.5,wilcox,2,-1.0,-1.0,0.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5e2efe12-13bd-5dca-939a-01d0d34ea2c6,greedy_factor,2c93edc65b3032117b7bea3bd6a3dc43e2cb5298f91e46702328a297fa814f43,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,runtime_s,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,0,0,8,0.000394087500239948,0.0001890000007733761,0.2716116124997825,0.2776936499999465,0.27121752499954255,0.14585363062435874,0.3952997318744309,0.277455149999696,0.021656500000062806,0.429935700000442,-119410.25507350489,-199664.82139778015,-48098.183741856024,-82675.49585832463,-217169.64222871372,-17678.77543183829,0.0,0.0078125,wilcox,8,-1.0,-1.0,-1.0,global across all emitted Wilcoxon hypotheses,125,0.9765625,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5e2efe12-13bd-5dca-939a-01d0d34ea2c6,greedy_factor,2c93edc65b3032117b7bea3bd6a3dc43e2cb5298f91e46702328a297fa814f43,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,t_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,6,2,0,58.0,30.0,27.0,24.0,-31.0,-69.0,-4.0,-8.0,-108.0,0.0,31.096491228070178,13.333333333333334,50.54002192982448,26.666666666666668,0.0,71.05263157894737,0.0,0.03125,wilcox,6,1.0,1.0,1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5e2efe12-13bd-5dca-939a-01d0d34ea2c6,greedy_factor,2c93edc65b3032117b7bea3bd6a3dc43e2cb5298f91e46702328a297fa814f43,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,weighted_score,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,0,0,8,0,0,0,,,,,,,,,,,,,,,,,,,wilcox,0,,,,global across all emitted Wilcoxon hypotheses,125,,False,0.05,"{""reference_metric_missing_or_nonfinite"":8}"
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5477e6fa-bceb-56c0-ad4f-b53a53774027,mcts_factor,cddf5da22fbdbf023c5b240a48c49eb3e8f3299a0810243c5534a71158709686,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,ancilla_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,0,8,0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,wilcox,0,0.0,0.0,0.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5477e6fa-bceb-56c0-ad4f-b53a53774027,mcts_factor,cddf5da22fbdbf023c5b240a48c49eb3e8f3299a0810243c5534a71158709686,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,cnot_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,4,2,2,63.75,33.5,34.5,31.0,-29.25,-69.25,0.125,-5.0,-112.0,5.0,14.440443461630409,-8.433178191489363,37.045780540282095,10.638297872340425,-25.0,62.921348314606746,3.0,0.15625,wilcox,6,0.7142857142857143,-0.16666666666666666,1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5477e6fa-bceb-56c0-ad4f-b53a53774027,mcts_factor,cddf5da22fbdbf023c5b240a48c49eb3e8f3299a0810243c5534a71158709686,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,depth,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,4,2,2,63.75,33.5,38.875,35.5,-24.875,-62.753125000000004,2.375,-3.0,-103.0,6.0,5.06469639015061,-22.514504392780303,32.13647501792972,6.382978723404255,-45.0,57.86516853932584,7.0,0.53125,wilcox,6,0.3333333333333333,-0.6666666666666666,1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5477e6fa-bceb-56c0-ad4f-b53a53774027,mcts_factor,cddf5da22fbdbf023c5b240a48c49eb3e8f3299a0810243c5534a71158709686,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,gate_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,0,2,6,8.75,5.5,13.875,14.0,5.125,2.625,7.503124999999983,5.5,0.0,9.0,-132.82004830917873,-276.5851449275362,-28.140096618357486,-47.58454106280193,-350.0,-8.695652173913043,0.0,0.03125,wilcox,6,-1.0,-1.0,-1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5477e6fa-bceb-56c0-ad4f-b53a53774027,mcts_factor,cddf5da22fbdbf023c5b240a48c49eb3e8f3299a0810243c5534a71158709686,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,n_qubits,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,0,6,2,6.25,6.5,6.5,6.5,0.25,0.0,0.625,0.0,0.0,1.0,-3.5714285714285716,-8.928571428571429,0.0,0.0,-14.285714285714286,0.0,0.0,0.5,wilcox,2,-1.0,-1.0,0.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5477e6fa-bceb-56c0-ad4f-b53a53774027,mcts_factor,cddf5da22fbdbf023c5b240a48c49eb3e8f3299a0810243c5534a71158709686,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,runtime_s,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,0,0,8,0.008113087500078109,0.0011959999997088744,0.2716116124997825,0.2776936499999465,0.2634985249997044,0.1467837003120394,0.38082284437456043,0.2753152499999487,0.10081144999912794,0.4852037000000564,-57837.59850137238,-128446.23182917008,-8080.5748308037255,-13245.28574353826,-123969.68006393989,-1747.4805426611142,0.0,0.0078125,wilcox,8,-1.0,-1.0,-1.0,global across all emitted Wilcoxon hypotheses,125,0.9765625,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5477e6fa-bceb-56c0-ad4f-b53a53774027,mcts_factor,cddf5da22fbdbf023c5b240a48c49eb3e8f3299a0810243c5534a71158709686,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,t_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,6,2,0,58.0,30.0,27.0,24.0,-31.0,-68.0,-3.5,-8.0,-108.0,-2.0,31.096491228070178,13.333333333333334,50.526315789473685,26.666666666666668,0.0,71.05263157894737,0.0,0.03125,wilcox,6,1.0,1.0,1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,5477e6fa-bceb-56c0-ad4f-b53a53774027,mcts_factor,cddf5da22fbdbf023c5b240a48c49eb3e8f3299a0810243c5534a71158709686,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,weighted_score,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,0,0,8,0,0,0,,,,,,,,,,,,,,,,,,,wilcox,0,,,,global across all emitted Wilcoxon hypotheses,125,,False,0.05,"{""reference_metric_missing_or_nonfinite"":8}"
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,1629eb01-5621-5f4b-a49c-d9b69fd802c3,sshr_beam,ff1b07e81d71bb593535bb98a98a60866fed9a5ca57e72826e9505c1bfe26883,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,ancilla_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,0,4,4,1.0,1.0,1.5,1.5,0.5,0.125,0.875,0.5,0.0,1.0,-50.0,-87.5,-12.5,-50.0,-100.0,0.0,0.0,0.125,wilcox,4,-1.0,-1.0,-1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,1629eb01-5621-5f4b-a49c-d9b69fd802c3,sshr_beam,ff1b07e81d71bb593535bb98a98a60866fed9a5ca57e72826e9505c1bfe26883,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,cnot_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,4,2,2,37.0,32.0,34.5,31.0,-2.5,-5.625,0.125,-2.0,-8.0,1.5,4.614467408585056,-1.643829491255962,10.520468998410163,5.405405405405405,-5.882352941176471,13.333333333333334,3.0,0.15625,wilcox,6,0.7142857142857143,-0.2,1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,1629eb01-5621-5f4b-a49c-d9b69fd802c3,sshr_beam,ff1b07e81d71bb593535bb98a98a60866fed9a5ca57e72826e9505c1bfe26883,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,depth,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,5,3,0,41.0,38.0,38.875,35.5,-2.125,-3.375,-0.75,-3.0,-3.0,0.0,4.406140734265734,1.8138111888111887,7.386363636363637,3.8461538461538463,0.0,9.375,0.0,0.0625,wilcox,5,1.0,1.0,1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,1629eb01-5621-5f4b-a49c-d9b69fd802c3,sshr_beam,ff1b07e81d71bb593535bb98a98a60866fed9a5ca57e72826e9505c1bfe26883,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,gate_count,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,1,2,5,11.25,11.5,13.875,14.0,2.625,0.75,4.625,2.0,0.0,6.0,-25.892857142857142,-49.42489495798319,-5.042016806722689,-17.226890756302524,-50.0,0.0,1.5,0.09375,wilcox,6,-0.8571428571428571,-1.0,-0.2857142857142857,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
logical,2577a60b-efeb-5683-93fc-007ea0cd77aa,xa202609-hardware-validation-v1,XA-202609 Boolean Oracle hardware validation,xa202609-final-v1,,logical,,,,1629eb01-5621-5f4b-a49c-d9b69fd802c3,sshr_beam,ff1b07e81d71bb593535bb98a98a60866fed9a5ca57e72826e9505c1bfe26883,0a4754fd-bfe1-582b-9693-ed5462cb787a,resource_nmcts[learned:6ba157fb9b55],c84c20115a0fe93b66a4b98f59915b685e858339601976d443b1fc5d67848504,n_qubits,True,candidate - reference; negative favours candidate,100 * (reference - candidate) / abs(reference); positive favours candidate,8,8,8,8,8,0,0,2,6,5.75,5.5,6.5,6.5,0.75,0.375,1.0,1.0,0.0,1.0,-12.738095238095239,-17.61904761904762,-7.498511904761913,-15.476190476190478,-20.0,0.0,0.0,0.03125,wilcox,6,-1.0,-1.0,-1.0,global across all emitted Wilcoxon hypotheses,125,1.0,False,0.05,{}
