name,n,method,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,score_lower_bound,time_s,revkit_num_gates,revkit_num_qubits,rz_total,rz_clifford,rz_t_like,rz_non_clifford,rz_max_denominator,ct_supported,correct,skipped,error,truth_table_hex
majority_n3,3,external_revkit_oracle_synth,8,10,15,21,0,0,4,8.835,8.835,0.0017969608306884766,21,4,9,1,8,0,4,1,RevKit oracle_synth accepted truth table,,,E8
parity_n3,3,external_revkit_oracle_synth,0,6,9,11,0,0,4,0.485,0.485,0.00012493133544921875,11,4,3,3,0,0,2,1,RevKit oracle_synth accepted truth table,,,96
threshold2_n3,3,external_revkit_oracle_synth,8,10,15,21,0,0,4,8.835,8.835,0.00019097328186035156,21,4,9,1,8,0,4,1,RevKit oracle_synth accepted truth table,,,E8
adder_carry_w2,4,external_revkit_oracle_synth,4,19,32,40,0,0,5,5.640000000000001,5.640000000000001,0.001970052719116211,40,5,19,0,4,15,8,0,RevKit oracle_synth accepted truth table,,,EC80
majority_n4,4,external_revkit_oracle_synth,0,30,58,63,0,0,5,2.6999999999999997,2.6999999999999997,0.00043082237243652344,63,5,31,0,0,31,16,0,RevKit oracle_synth accepted truth table,,,E880
mul_w2_bit1,4,external_revkit_oracle_synth,0,30,58,63,0,0,5,2.6999999999999997,2.6999999999999997,0.0003809928894042969,63,5,31,0,0,31,8,0,RevKit oracle_synth accepted truth table,,,6AC0
parity_n4,4,external_revkit_oracle_synth,0,8,11,13,0,0,5,0.615,0.615,0.0004696846008300781,13,5,3,3,0,0,2,1,RevKit oracle_synth accepted truth table,,,6996
threshold2_n4,4,external_revkit_oracle_synth,0,30,58,63,0,0,5,2.6999999999999997,2.6999999999999997,0.0019850730895996094,63,5,31,0,0,31,16,0,RevKit oracle_synth accepted truth table,,,FEE8
truth_n4_0,4,external_revkit_oracle_synth,4,26,38,49,0,0,5,6.1000000000000005,6.1000000000000005,0.0008058547973632812,49,5,21,1,4,16,8,0,RevKit oracle_synth accepted truth table,,,A3B1
truth_n4_1,4,external_revkit_oracle_synth,3,22,36,43,0,0,5,4.85,4.85,0.0023059844970703125,43,5,19,0,3,16,8,0,RevKit oracle_synth accepted truth table,,,1C80
truth_n4_10,4,external_revkit_oracle_synth,0,30,58,63,0,0,5,2.6999999999999997,2.6999999999999997,0.0003910064697265625,63,5,31,0,0,31,16,0,RevKit oracle_synth accepted truth table,,,AD3C
truth_n4_11,4,external_revkit_oracle_synth,4,22,33,43,0,0,5,5.805,5.805,0.0007150173187255859,43,5,19,0,4,15,8,0,RevKit oracle_synth accepted truth table,,,BD9C
truth_n4_12,4,external_revkit_oracle_synth,4,25,37,48,0,0,5,6.035,6.035,0.0007238388061523438,48,5,21,1,4,16,8,0,RevKit oracle_synth accepted truth table,,,E465
truth_n4_13,4,external_revkit_oracle_synth,0,30,58,63,0,0,5,2.6999999999999997,2.6999999999999997,0.00039505958557128906,63,5,31,0,0,31,16,0,RevKit oracle_synth accepted truth table,,,8B9D
truth_n4_14,4,external_revkit_oracle_synth,0,30,58,63,0,0,5,2.6999999999999997,2.6999999999999997,0.00038123130798339844,63,5,31,0,0,31,16,0,RevKit oracle_synth accepted truth table,,,1641
truth_n4_15,4,external_revkit_oracle_synth,4,23,36,46,0,0,5,5.92,5.92,0.0007758140563964844,46,5,21,1,4,16,8,0,RevKit oracle_synth accepted truth table,,,972A
truth_n4_16,4,external_revkit_oracle_synth,4,20,32,41,0,0,5,5.6899999999999995,5.6899999999999995,0.0006887912750244141,41,5,19,0,4,15,8,0,RevKit oracle_synth accepted truth table,,,6C03
truth_n4_17,4,external_revkit_oracle_synth,0,30,58,63,0,0,5,2.6999999999999997,2.6999999999999997,0.0003859996795654297,63,5,31,0,0,31,16,0,RevKit oracle_synth accepted truth table,,,822
truth_n4_18,4,external_revkit_oracle_synth,0,30,58,63,0,0,5,2.6999999999999997,2.6999999999999997,0.00041103363037109375,63,5,31,0,0,31,16,0,RevKit oracle_synth accepted truth table,,,7A0
truth_n4_19,4,external_revkit_oracle_synth,4,22,35,43,0,0,5,5.835,5.835,0.0007088184356689453,43,5,19,0,4,15,8,0,RevKit oracle_synth accepted truth table,,,17FC
truth_n4_2,4,external_revkit_oracle_synth,0,30,58,63,0,0,5,2.6999999999999997,2.6999999999999997,0.0003991127014160156,63,5,31,0,0,31,16,0,RevKit oracle_synth accepted truth table,,,667
truth_n4_20,4,external_revkit_oracle_synth,4,21,33,42,0,0,5,5.755,5.755,0.0006961822509765625,42,5,19,0,4,15,8,0,RevKit oracle_synth accepted truth table,,,37F8
truth_n4_21,4,external_revkit_oracle_synth,4,20,35,41,0,0,5,5.735,5.735,0.0006859302520751953,41,5,19,0,4,15,8,0,RevKit oracle_synth accepted truth table,,,3B8F
truth_n4_22,4,external_revkit_oracle_synth,0,30,58,63,0,0,5,2.6999999999999997,2.6999999999999997,0.0004012584686279297,63,5,31,0,0,31,16,0,RevKit oracle_synth accepted truth table,,,815E
truth_n4_23,4,external_revkit_oracle_synth,4,23,40,46,0,0,5,5.9799999999999995,5.9799999999999995,0.0007090568542480469,46,5,21,1,4,16,8,0,RevKit oracle_synth accepted truth table,,,9A1D
truth_n4_24,4,external_revkit_oracle_synth,0,30,58,63,0,0,5,2.6999999999999997,2.6999999999999997,0.00039768218994140625,63,5,31,0,0,31,16,0,RevKit oracle_synth accepted truth table,,,6CB
truth_n4_25,4,external_revkit_oracle_synth,4,21,34,42,0,0,5,5.77,5.77,0.0007569789886474609,42,5,19,0,4,15,8,0,RevKit oracle_synth accepted truth table,,,8FAD
truth_n4_26,4,external_revkit_oracle_synth,0,30,58,63,0,0,5,2.6999999999999997,2.6999999999999997,0.000392913818359375,63,5,31,0,0,31,16,0,RevKit oracle_synth accepted truth table,,,32E7
truth_n4_27,4,external_revkit_oracle_synth,4,21,32,42,0,0,5,5.74,5.74,0.0006928443908691406,42,5,19,0,4,15,8,0,RevKit oracle_synth accepted truth table,,,B74D
truth_n4_28,4,external_revkit_oracle_synth,0,30,58,63,0,0,5,2.6999999999999997,2.6999999999999997,0.0003800392150878906,63,5,31,0,0,31,16,0,RevKit oracle_synth accepted truth table,,,A65E
truth_n4_29,4,external_revkit_oracle_synth,4,24,36,47,0,0,5,5.97,5.97,0.0007331371307373047,47,5,21,1,4,16,8,0,RevKit oracle_synth accepted truth table,,,B38A
truth_n4_3,4,external_revkit_oracle_synth,0,30,58,63,0,0,5,2.6999999999999997,2.6999999999999997,0.0003948211669921875,63,5,31,0,0,31,16,0,RevKit oracle_synth accepted truth table,,,BDD6
truth_n4_30,4,external_revkit_oracle_synth,4,21,29,42,0,0,5,5.694999999999999,5.694999999999999,0.0006787776947021484,42,5,19,0,4,15,8,0,RevKit oracle_synth accepted truth table,,,8B81
