dataset,index,name,preset_name,n,anf_terms,method,flow,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,source_blif_correct,verilog_correct,time_s,abc_time_s,cirkit_time_s,verify_time_s,aig_gates,aig_level,mc_size,mc_depth,cirkit_commit,abc_binary,cirkit_binary,source_manifest,skipped,error,aig_inputs,aig_outputs
traditional,1,majority_n3,majority_n3,3,3,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",16,25,19,9,4,4,8,25.375,True,True,True,0.13666486740112305,0.033952951431274414,0.08167910575866699,0.019977092742919922,4,3,4,3,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,3,1
traditional,0,parity_n3,parity_n3,3,3,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",24,37,25,13,6,6,10,37.985,True,True,True,0.13904500007629395,0.03559398651123047,0.08209919929504395,0.020182132720947266,6,4,6,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,3,1
traditional,2,threshold2_n3,threshold2_n3,3,3,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",16,25,19,9,4,4,8,25.375,True,True,True,0.13785314559936523,0.03496670722961426,0.08227276802062988,0.019523143768310547,4,3,4,3,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,3,1
traditional,13,adder_carry_w2,adder_carry_w2,4,3,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",20,31,19,11,5,5,10,31.634999999999998,True,True,True,0.13702106475830078,0.035964250564575195,0.08059215545654297,0.019910097122192383,5,3,5,3,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,4,majority_n4,majority_n4,4,5,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",32,49,31,17,8,8,13,50.595000000000006,True,True,True,0.1357409954071045,0.033151865005493164,0.08108305931091309,0.020776033401489258,8,5,8,5,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,15,mul_w2_bit1,mul_w2_bit1,4,2,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",20,31,19,11,5,5,10,31.634999999999998,True,True,True,0.1353001594543457,0.03485393524169922,0.08047723770141602,0.019433975219726562,5,3,5,3,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,3,parity_n4,parity_n4,4,4,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",36,55,25,19,9,9,14,56.765,True,True,True,0.1364431381225586,0.03566598892211914,0.07991981506347656,0.020051956176757812,9,4,9,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,5,threshold2_n4,threshold2_n4,4,7,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",48,73,37,25,12,12,17,75.725,True,True,True,0.13743090629577637,0.03628730773925781,0.08135414123535156,0.018995285034179688,12,6,12,6,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,17,truth_n4_0,truth_n4_0,4,9,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",40,61,31,21,10,10,15,63.115,True,True,True,0.1386408805847168,0.034484148025512695,0.08281207084655762,0.020710229873657227,10,5,10,5,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,18,truth_n4_1,truth_n4_1,4,4,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",32,49,31,17,8,8,13,50.595000000000006,True,True,True,0.13648009300231934,0.03340601921081543,0.08217763900756836,0.020323991775512695,8,5,8,5,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,27,truth_n4_10,truth_n4_10,4,7,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",32,49,25,17,8,8,13,50.505,True,True,True,0.13771510124206543,0.03546905517578125,0.0825800895690918,0.019021987915039062,8,4,8,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,28,truth_n4_11,truth_n4_11,4,9,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",32,49,25,17,8,8,13,50.505,True,True,True,0.136915922164917,0.03468894958496094,0.08090877532958984,0.020717859268188477,8,4,8,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,29,truth_n4_12,truth_n4_12,4,11,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",40,61,25,21,10,10,15,63.025,True,True,True,0.13945293426513672,0.03470587730407715,0.08472895622253418,0.01928424835205078,10,4,10,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,30,truth_n4_13,truth_n4_13,4,9,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",32,49,25,17,8,8,13,50.505,True,True,True,0.13647222518920898,0.034628868103027344,0.08164405822753906,0.0196530818939209,8,4,8,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,31,truth_n4_14,truth_n4_14,4,10,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",40,61,37,21,10,10,15,63.205,True,True,True,0.13835692405700684,0.033641815185546875,0.08333778381347656,0.02069687843322754,10,6,10,6,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,32,truth_n4_15,truth_n4_15,4,7,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",44,67,31,23,11,11,16,69.375,True,True,True,0.13956904411315918,0.03496384620666504,0.08359932899475098,0.020183086395263672,11,5,11,5,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,33,truth_n4_16,truth_n4_16,4,8,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",28,43,25,15,7,7,12,44.245,True,True,True,0.14013218879699707,0.034989118576049805,0.08402490615844727,0.020476102828979492,7,4,7,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,34,truth_n4_17,truth_n4_17,4,4,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",20,31,25,11,5,5,10,31.724999999999998,True,True,True,0.13902592658996582,0.03615212440490723,0.08222794532775879,0.019903898239135742,5,4,5,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,35,truth_n4_18,truth_n4_18,4,6,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",24,37,19,13,6,6,11,37.894999999999996,True,True,True,0.13822507858276367,0.03501391410827637,0.08292007446289062,0.01966691017150879,6,3,6,3,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,36,truth_n4_19,truth_n4_19,4,8,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",32,49,25,17,8,8,13,50.505,True,True,True,0.13966917991638184,0.034510135650634766,0.0841522216796875,0.020374059677124023,8,4,8,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,19,truth_n4_2,truth_n4_2,4,12,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",36,55,25,19,9,9,14,56.765,True,True,True,0.13585782051086426,0.03427720069885254,0.0814979076385498,0.019454002380371094,9,4,9,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,37,truth_n4_20,truth_n4_20,4,6,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",44,67,31,23,11,11,16,69.375,True,True,True,0.1394650936126709,0.033499956130981445,0.08329319953918457,0.02184009552001953,11,5,11,5,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,38,truth_n4_21,truth_n4_21,4,6,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",28,43,19,15,7,7,12,44.155,True,True,True,0.1373460292816162,0.03380918502807617,0.08147192001342773,0.02147197723388672,7,3,7,3,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,39,truth_n4_22,truth_n4_22,4,9,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",52,79,37,27,13,13,18,81.985,True,True,True,0.13584303855895996,0.03311300277709961,0.08195829391479492,0.020084857940673828,13,6,13,6,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,40,truth_n4_23,truth_n4_23,4,7,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",56,85,37,29,14,14,19,88.245,True,True,True,0.14169096946716309,0.03596186637878418,0.08395695686340332,0.021074771881103516,14,6,14,6,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,41,truth_n4_24,truth_n4_24,4,12,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",40,61,31,21,10,10,15,63.115,True,True,True,0.14109015464782715,0.03455495834350586,0.0850069522857666,0.020727872848510742,10,5,10,5,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,42,truth_n4_25,truth_n4_25,4,7,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",24,37,25,13,6,6,11,37.985,True,True,True,0.1420729160308838,0.03450298309326172,0.08484077453613281,0.02186107635498047,6,4,6,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,43,truth_n4_26,truth_n4_26,4,8,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",48,73,37,25,12,12,17,75.725,True,True,True,0.14030075073242188,0.033939361572265625,0.08566093444824219,0.019788026809692383,12,6,12,6,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,44,truth_n4_27,truth_n4_27,4,9,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",56,85,31,29,14,14,19,88.155,True,True,True,0.14110088348388672,0.03647899627685547,0.08231186866760254,0.0216982364654541,14,5,14,5,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,45,truth_n4_28,truth_n4_28,4,9,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",44,67,37,23,11,11,16,69.465,True,True,True,0.1402907371520996,0.03437209129333496,0.08376288414001465,0.02130889892578125,11,6,11,6,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,46,truth_n4_29,truth_n4_29,4,7,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",44,67,31,23,11,11,16,69.375,True,True,True,0.13903093338012695,0.03437209129333496,0.08243298530578613,0.021551847457885742,11,5,11,5,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,20,truth_n4_3,truth_n4_3,4,11,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",60,91,37,31,15,15,20,94.50500000000001,True,True,True,0.13817906379699707,0.03377676010131836,0.08316779136657715,0.020666837692260742,15,6,15,6,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,47,truth_n4_30,truth_n4_30,4,9,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",28,43,25,15,7,7,12,44.245,True,True,True,0.13599801063537598,0.03549003601074219,0.08089804649353027,0.018906831741333008,7,4,7,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,48,truth_n4_31,truth_n4_31,4,10,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",48,73,31,25,12,12,17,75.635,True,True,True,0.14114999771118164,0.03586602210998535,0.08213496208190918,0.02247786521911621,12,5,12,5,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,49,truth_n4_32,truth_n4_32,4,8,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",44,67,37,23,11,11,16,69.465,True,True,True,0.1392199993133545,0.03590583801269531,0.08187699317932129,0.02042698860168457,11,6,11,6,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,50,truth_n4_33,truth_n4_33,4,6,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",16,25,19,9,4,4,9,25.375,True,True,True,0.13837599754333496,0.036041975021362305,0.08089900016784668,0.020618200302124023,4,3,4,3,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,51,truth_n4_34,truth_n4_34,4,5,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",44,67,37,23,11,11,16,69.465,True,True,True,0.137908935546875,0.03628420829772949,0.08163714408874512,0.01905202865600586,11,6,11,6,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,52,truth_n4_35,truth_n4_35,4,6,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",24,37,19,13,6,6,11,37.894999999999996,True,True,True,0.13686561584472656,0.03549790382385254,0.08130407333374023,0.01922893524169922,6,3,6,3,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,53,truth_n4_36,truth_n4_36,4,9,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",36,55,25,19,9,9,14,56.765,True,True,True,0.13797831535339355,0.034301042556762695,0.0816199779510498,0.02085399627685547,9,4,9,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,54,truth_n4_37,truth_n4_37,4,9,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",24,37,19,13,6,6,11,37.894999999999996,True,True,True,0.1353311538696289,0.033869028091430664,0.0807650089263916,0.019831180572509766,6,3,6,3,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,55,truth_n4_38,truth_n4_38,4,8,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",20,31,19,11,5,5,10,31.634999999999998,True,True,True,0.1369163990020752,0.033833980560302734,0.08159708976745605,0.020637035369873047,5,3,5,3,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,56,truth_n4_39,truth_n4_39,4,11,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",36,55,25,19,9,9,14,56.765,True,True,True,0.13900375366210938,0.03574204444885254,0.08221602439880371,0.020109176635742188,9,4,9,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,21,truth_n4_4,truth_n4_4,4,8,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",52,79,31,27,13,13,18,81.89500000000001,True,True,True,0.1350100040435791,0.03318595886230469,0.08147025108337402,0.019767045974731445,13,5,13,5,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,57,truth_n4_40,truth_n4_40,4,7,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",24,37,25,13,6,6,11,37.985,True,True,True,0.13729000091552734,0.03448605537414551,0.08057618141174316,0.021440982818603516,6,4,6,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,58,truth_n4_41,truth_n4_41,4,6,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",40,61,31,21,10,10,15,63.115,True,True,True,0.13931608200073242,0.03552103042602539,0.08179569244384766,0.021190881729125977,10,5,10,5,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,59,truth_n4_42,truth_n4_42,4,11,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",44,67,37,23,11,11,16,69.465,True,True,True,0.13724517822265625,0.03334689140319824,0.08287692070007324,0.019919872283935547,11,6,11,6,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,60,truth_n4_43,truth_n4_43,4,6,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",40,61,37,21,10,10,15,63.205,True,True,True,0.1374959945678711,0.03522801399230957,0.08124995231628418,0.02017521858215332,10,6,10,6,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,61,truth_n4_44,truth_n4_44,4,10,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",40,61,31,21,10,10,15,63.115,True,True,True,0.13776493072509766,0.03511977195739746,0.08189988136291504,0.020023822784423828,10,5,10,5,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,62,truth_n4_45,truth_n4_45,4,6,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",28,43,25,15,7,7,12,44.245,True,True,True,0.13643598556518555,0.03474998474121094,0.08110380172729492,0.019706249237060547,7,4,7,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,63,truth_n4_46,truth_n4_46,4,10,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",24,37,19,13,6,6,11,37.894999999999996,True,True,True,0.13655495643615723,0.03345680236816406,0.08175110816955566,0.020457029342651367,6,3,6,3,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,64,truth_n4_47,truth_n4_47,4,10,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",64,97,37,33,16,16,21,100.765,True,True,True,0.14506196975708008,0.03673505783081055,0.0858159065246582,0.021625757217407227,16,6,16,6,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,65,truth_n4_48,truth_n4_48,4,13,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",24,37,19,13,6,6,11,37.894999999999996,True,True,True,0.14208579063415527,0.036493778228759766,0.08393597602844238,0.020573139190673828,6,3,6,3,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,66,truth_n4_49,truth_n4_49,4,7,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",32,49,31,17,8,8,13,50.595000000000006,True,True,True,0.14267706871032715,0.03634214401245117,0.08322525024414062,0.022205829620361328,8,5,8,5,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,22,truth_n4_5,truth_n4_5,4,8,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",40,61,31,21,10,10,15,63.115,True,True,True,0.13593530654907227,0.034502267837524414,0.0809328556060791,0.019809961318969727,10,5,10,5,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,67,truth_n4_50,truth_n4_50,4,10,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",60,91,43,31,15,15,20,94.595,True,True,True,0.1431112289428711,0.036425113677978516,0.08389091491699219,0.022044897079467773,15,7,15,7,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
traditional,68,truth_n4_51,truth_n4_51,4,4,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",24,37,25,13,6,6,11,37.985,True,True,True,0.14184021949768066,0.0351409912109375,0.08379173278808594,0.022159099578857422,6,4,6,4,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/traditional_resource_external_seed42,,,4,1
