name,n,method,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,score_lower_bound,score_rz1,score_rz1.5,score_rz2,score_rz4,score_rz10,score_synth_tperrz30,score_synth_tperrz60,score_synth_tperrz100,time_s,anf_terms,parity_gadgets,rz_total,rz_clifford,rz_t_like,rz_non_clifford,rz_max_denominator,phase_ops,ct_supported,verified_up_to_global_phase,correct,skipped,error,truth_table_hex,candidate_affine_forms,candidate_polarities,candidate_transforms,global_phase_pi,global_phase_pi_den,global_phase_pi_num,polarity,polarity_hex,polarity_weight,rank_metric,shifted_constant_term,transform_index,transform_nonidentity,transform_rows_hex,transform_weight
truth_n4_14,4,phase_parity_affine_fprm_opt_score,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.07226363817850749,10,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,1641,2048,16,128,1/1,1,1,0,0x0,0,score,1,0,0,0x1;0x2;0x4;0x8,4
truth_n4_14,4,phase_parity_affine_fprm_opt_rz1,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.07226363817850749,10,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,1641,2048,16,128,1/1,1,1,0,0x0,0,score_rz1,1,0,0,0x1;0x2;0x4;0x8,4
truth_n4_14,4,phase_parity_affine_fprm_opt_tperrz30,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.07226363817850749,10,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,1641,2048,16,128,1/1,1,1,0,0x0,0,score_synth_tperrz30,1,0,0,0x1;0x2;0x4;0x8,4
truth_n4_15,4,phase_parity_affine_fprm_opt_score,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.054718971252441406,5,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,972A,2048,16,128,0/1,1,0,0,0x0,0,score,0,1,1,0x1;0x3;0x5;0x9,7
truth_n4_15,4,phase_parity_affine_fprm_opt_rz1,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.054718971252441406,5,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,972A,2048,16,128,0/1,1,0,0,0x0,0,score_rz1,0,1,1,0x1;0x3;0x5;0x9,7
truth_n4_15,4,phase_parity_affine_fprm_opt_tperrz30,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.054718971252441406,5,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,972A,2048,16,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,0,1,1,0x1;0x3;0x5;0x9,7
truth_n4_16,4,phase_parity_affine_fprm_opt_score,7,20,29,29,0,0,4,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,0.0588382879892985,9,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,6C03,2048,16,128,1/1,1,1,0,0x0,0,score,1,5,1,0x1;0x3;0x4;0x8,5
truth_n4_16,4,phase_parity_affine_fprm_opt_rz1,7,20,29,29,0,0,4,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,0.0588382879892985,9,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,6C03,2048,16,128,1/1,1,1,0,0x0,0,score_rz1,1,5,1,0x1;0x3;0x4;0x8,5
truth_n4_16,4,phase_parity_affine_fprm_opt_tperrz30,7,20,29,29,0,0,4,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,0.0588382879892985,9,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,6C03,2048,16,128,1/1,1,1,0,0x0,0,score_synth_tperrz30,1,5,1,0x1;0x3;0x4;0x8,5
truth_n4_17,4,phase_parity_affine_fprm_opt_score,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.07579437891642253,4,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,822,2048,16,128,0/1,1,0,0,0x0,0,score,0,0,0,0x1;0x2;0x4;0x8,4
